UNITID,LEXP100K,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPSERIA,LPSERIA,XLESERIA,LESERIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,LILLDYN,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM 
147767,1 ,2,"R",2577346,"R",2151485,"R",1016,"R",218675,"R",208488,"R",103053,"R",178879,"R",2899074,"R",2539868,"R",5438942,"R",102906,"R",1576546,"R",1679452,1,"R",24595,"R",38646,"R",2,"R",17129285,1,"R",4629751,"R",2897792,"R",13038435,"R",0,"R",15936227,"R",506543,"R",3306104,"R",3812647,"R",41507910,36878159
147776,1 ,2,"R",464371,"R",321181,"R",210,"R",16592,"R",225401,"R",18285,"R",70747,"R",499248,"R",617539,"R",1116787,"R",15118,"R",84089,"R",99207,1,"R",7345,"R",9674,"R",2,"R",1576163,2,"Z",0,"R",330590,"R",674770,"R",81249,"R",1086609,"R",0,"R",192940,"R",192940,"R",2855712,2855712
147800,1 ,2,"R",72963,"R",25970,"R",125,"R",2195,"R",13280,"R",9209,"R",123928,"R",84367,"R",163303,"R",247670,"R",9259,"R",11107,"R",20366,1,"R",2109,"R",1926,"R",1,"R",1264015,1,"R",182160,"R",59332,"R",166089,"R",0,"R",225421,"R",1270,"R",77017,"R",78287,"R",1749883,1567723
147828,1 ,2,"R",124780,"R",239619,"R",177,"R",1910,"R",6086,"R",724,"R",75635,"R",127414,"R",321517,"R",448931,"R",11156,"R",125193,"R",136349,1,"R",5662,"R",4321,"R",0,"R",513832,1,"R",170999,"R",64077,"R",365185,"R",51505,"R",480767,"R",20065,"R",334227,"R",354292,"R",1519890,1348891
147916,1 ,2,"R",77519,"R",213336,"R",43,"R",9602,"R",43257,"R",186,"R",87686,"R",87307,"R",344322,"R",431629,"R",18191,"R",41163,"R",59354,1,"R",2970,"R",1479,"R",0,"R",745966,1,"R",127703,"R",78162,"R",127212,"R",19127,"R",224501,"R",0,"R",100864,"R",100864,"R",1199034,1071331
148007,1 ,2,"R",33607,"R",234363,"R",151,"R",1469,"R",228270,"R",98,"R",124482,"R",35174,"R",587266,"R",622440,"R",3624,"R",9958,"R",13582,1,"R",4921,"R",145,"R",0,"R",509797,1,"R",65758,"R",67641,"R",29260,"R",54733,"R",151634,"R",1476,"R",32611,"R",34087,"R",761276,695518
148016,1 ,2,"R",160606,"R",599094,"Z",0,"R",5868,"R",13024,"R",1158,"R",29607,"R",167632,"R",641725,"R",809357,"R",3314,"R",32590,"R",35904,1,"R",1211,"R",2037,"R",0,"R",411592,2,"Z",0,"R",10893,"R",140849,"R",28628,"R",180370,"R",0,"R",14879,"R",14879,"R",606841,606841
148131,1 ,2,"R",105515,"R",4247,"R",30,"R",36656,"R",12967,"R",46,"R",63,"R",142217,"R",17307,"R",159524,"R",2188,"R",479,"R",2667,1,"R",1368,"R",511,"R",0,"R",152793,1,"R",9536,"R",4912,"R",58169,"R",3008,"R",66089,"R",0,"R",13207,"R",13207,"R",241625,232089
148256,1 ,2,"R",10953,"R",45587,"R",62,"R",1933,"R",49656,"R",35,"R",23148,"R",12921,"R",118453,"R",131374,"R",1348,"R",10180,"R",11528,1,"R",2601,"R",447,"R",0,"R",86772,1,"R",9022,"R",15925,"R",54774,"R",0,"R",70699,"R",0,"R",10450,"R",10450,"R",176943,167921
148292,1 ,2,"R",25117,"R",5889,"R",43,"R",874,"R",5722,"R",22,"R",6,"R",26013,"R",11660,"R",37673,"R",2089,"R",1676,"R",3765,1,"R",528,"R",506,"R",0,"R",124323,1,"R",30571,"R",8947,"R",50371,"R",1332,"R",60650,"R",0,"R",4151,"R",4151,"R",219695,189124
148335,1 ,2,"R",160835,"R",53750,"R",35,"R",32872,"R",10628,"R",6889,"R",0,"R",200596,"R",64413,"R",265009,"R",14065,"R",176,"R",14241,1,"R",5508,"R",462,"R",4,"R",169227,1,"R",33037,"R",18296,"R",80320,"R",0,"R",98616,"R",0,"R",11240,"R",11240,"R",312120,279083
148380,1 ,2,"R",93288,"R",14861,"R",63,"R",10771,"R",6901,"R",533,"R",114,"R",104592,"R",21939,"R",126531,"R",5513,"R",11339,"R",16852,1,"R",804,"R",187,"R",0,"R",378229,1,"R",318634,"R",52190,"R",181837,"R",0,"R",234027,"R",0,"R",52561,"R",52561,"R",983451,664817
148405,1 ,2,"R",122305,"R",494935,"R",75,"R",1143,"R",26441,"R",25,"R",343911,"R",123473,"R",865362,"R",988835,"R",2597,"R",54654,"R",57251,1,"R",1981,"R",2029,"R",0,"R",166002,1,"R",49106,"R",1486,"R",127988,"R",0,"R",129474,"R",0,"R",15274,"R",15274,"R",359856,310750
148487,1 ,2,"R",204428,"R",48521,"R",185,"R",6452,"R",6858,"R",21,"R",54220,"R",210901,"R",109784,"R",320685,"R",30655,"R",38189,"R",68844,1,"R",4153,"R",5720,"R",1,"R",702118,1,"R",151167,"R",40172,"R",385297,"R",67571,"R",493040,"R",1000,"R",54589,"R",55589,"R",1401914,1250747
148496,1 ,2,"R",208632,"R",24977,"Z",0,"R",2184,"R",17377,"R",1339,"R",62595,"R",212155,"R",104949,"R",317104,"R",5269,"R",108326,"R",113595,1,"R",3368,"R",5956,"R",0,"R",1058833,1,"R",262653,"R",115000,"R",522500,"R",2200,"R",639700,"R",2000,"R",79700,"R",81700,"R",2042886,1780233
148511,1 ,2,"R",25130,"R",15055,"R",127,"R",193,"R",2804,"R",60,"R",24500,"R",25383,"R",42486,"R",67869,"R",3076,"R",126384,"R",129460,1,"R",4148,"R",8122,"R",0,"R",913487,1,"R",200967,"R",14500,"R",1656969,"R",43333,"R",1714802,"R",0,"R",659455,"R",659455,"R",3488711,3287744
